IRIG Time	ARC_DECOM_STREAM_1: LEP MCP	ARC_DECOM_STREAM_1: LEP Mesh	ARC_DECOM_STREAM_1: LEP SvFix	ARC_DECOM_STREAM_1: LEP Sweep	
22:03:58.505755	2	2187	33	22	
22:03:58.527873	28	2026	41	19	
22:03:58.549991	0	2093	0	7	
22:03:58.572110	9	1931	0	17	
22:03:58.594228	8	2004	0	0	
22:03:58.616346	0	1914	0	29	
22:03:58.638465	0	2073	14	25	
22:03:58.660583	134	2078	34	30	
22:03:58.682701	0	2185	0	0	
22:03:58.704820	4	1994	30	0	
22:03:58.726938	22	1955	74	34	
22:03:58.749057	13	2141	33	0	
22:03:58.771175	29	2079	0	31	
22:03:58.793293	26	1993	38	0	
22:03:58.815411	20	2208	0	0	
22:03:58.837530	55	2091	3	45	
22:03:58.859648	51	2017	61	0	
22:03:58.881766	40	1997	47	19	
22:03:58.903885	80	2017	14	9	
22:03:58.926003	32	1957	0	7	
22:03:58.948122	5	2073	0	49	
22:03:58.970240	34	2070	18	44	
22:03:58.992358	38	2006	34	0	
22:03:59.014476	0	2098	0	27	
22:03:59.036595	60	2206	60	16	
22:03:59.058713	52	2028	21	24	
22:03:59.080832	72	2186	31	13	
22:03:59.102950	46	1946	24	0	
22:03:59.125069	0	1930	3	20	
22:03:59.147187	20	2133	50	0	
22:03:59.169305	45	1921	26	0	
22:03:59.191424	39	2025	0	17	
22:03:59.213541	31	1891	0	38	
22:03:59.235660	25	1989	0	60	
22:03:59.257778	52	1958	0	45	
22:03:59.279897	13	1975	0	42	
22:03:59.302015	6	2107	43	0	
22:03:59.324134	0	2115	0	19	
22:03:59.346252	52	1957	71	43	
22:03:59.368371	15	2169	0	0	
22:03:59.390488	16	1930	13	27	
22:03:59.412607	75	2027	24	0	
22:03:59.434725	28	2030	0	33	
22:03:59.456844	27	1991	131	33	
22:03:59.478962	11	2133	38	19	
22:03:59.501080	0	2030	104	10	
22:03:59.523199	35	2031	0	10	
22:03:59.545317	31	1996	50	56	
22:03:59.567435	29	1924	0	23	
22:03:59.589553	0	2009	36	30	
22:03:59.611672	4	2174	0	0	
22:03:59.633790	38	2096	0	51	
22:03:59.655909	0	2192	41	36	
22:03:59.678027	36	2173	0	14	
22:03:59.700145	6	2004	0	18	
22:03:59.722264	58	2115	0	16	
22:03:59.744382	4	2152	0	0	
22:03:59.766500	3	2254	27	59	
22:03:59.788619	54	2097	71	19	
