#    Time  Long.axis      Spin1      Spin2
   9.9232 -0.9446345 -0.2693743  0.1873582
   9.9578 -0.9447271 -0.3086389  0.1106014
   9.9923 -0.9439178 -0.3295811  0.0198874
  10.0269 -0.9437805 -0.3243481 -0.0638495
  10.0615 -0.9438559 -0.2955570 -0.1475876
  10.0960 -0.9423079 -0.2484423 -0.2243486
  10.1306 -0.9438791 -0.1856213 -0.2731978
  10.1651 -0.9472563 -0.1097113 -0.3011127
  10.1997 -0.9487812 -0.0233298 -0.3150714
  10.2384 -0.9511389  0.0682883 -0.3011170
  10.2730 -0.9541797  0.1494369 -0.2592485
  10.3075 -0.9540274  0.2201158 -0.2034224
  10.3421 -0.9518330  0.2724717 -0.1406171
  10.3766 -0.9493202  0.3091218 -0.0568753
  10.4112 -0.9462860  0.3222126  0.0268677
  10.4458 -0.9453578  0.3091259  0.1036331
  10.4803 -0.9476562  0.2724790  0.1664421
  10.5149 -0.9476380  0.2148891  0.2362307
  10.5494 -0.9483741  0.1389737  0.2850839
  10.5840 -0.9481470  0.0552037  0.3130012
  10.6199 -0.9466189 -0.0390388  0.3199823
  10.6545 -0.9474295 -0.1306647  0.2920686
  10.6891 -0.9464667 -0.2039666  0.2501967
  10.7236 -0.9467163 -0.2667979  0.1804080
  10.7582 -0.9462396 -0.3086865  0.0966603
  10.7927 -0.9459027 -0.3243962  0.0059323
  10.8273 -0.9444084 -0.3113086 -0.1057345
  10.8646 -0.9397128 -0.2798951 -0.1964652
  10.8992 -0.9398703 -0.2223009 -0.2592799
  10.9338 -0.9372841 -0.1489979 -0.3151162
  10.9683 -0.9423959 -0.0599857 -0.3290770
  11.0043 -0.9461766  0.0316457 -0.3220999
  11.0388 -0.9481016  0.1206604 -0.2941844
  11.0734 -0.9492982  0.1965860 -0.2453300
  11.1079 -0.9502230  0.2620401 -0.1685565
  11.1425 -0.9468073  0.3039321 -0.1057412
  11.1771 -0.9465318  0.3222614 -0.0150063
  11.2116 -0.9453881  0.3170274  0.0757299
  11.2462 -0.9476978  0.2803751  0.1525079
  11.2807 -0.9491839  0.2227766  0.2223072
  11.3153 -0.9520576  0.1416132  0.2711679
  11.3499 -0.9529154  0.0499757  0.2990896
  11.3858 -0.9529387 -0.0495179  0.2990918
  11.4204 -0.9517316 -0.1437764  0.2711739
  11.4549 -0.9486705 -0.2249448  0.2223154
  11.4895 -0.9465720 -0.2877861  0.1455356
  11.5240 -0.9434125 -0.3270633  0.0547944
  11.5586 -0.9403321 -0.3375391 -0.0429284
  11.5932 -0.9371873 -0.3192129 -0.1406526
  11.6277 -0.9364961 -0.2694657 -0.2244175
  11.6623 -0.9385604 -0.2013889 -0.2802622
  11.6968 -0.9366017 -0.1202189 -0.3291272
  11.7314 -0.9415335 -0.0233370 -0.3361101
  11.7673 -0.9465733  0.0683094 -0.3151710
  11.8047 -0.9496263  0.1651942 -0.2663094
  11.8392 -0.9517033  0.2358953 -0.1965050
  11.8738 -0.9484731  0.2961232 -0.1127381
  11.9083 -0.9459510  0.3223109 -0.0359508
  11.9429 -0.9446150  0.3223132  0.0617800
  11.9775 -0.9437083  0.2935111  0.1525314
  12.0120 -0.9446773  0.2411411  0.2223414
  12.0466 -0.9466659  0.1625841  0.2781907
  12.0811 -0.9449247  0.0683140  0.3200789
  12.1171 -0.9468763 -0.0311949  0.3200815
  12.1516 -0.9426103 -0.1333241  0.3061218
  12.1862 -0.9410274 -0.2197426  0.2572560
  12.2208 -0.9434215 -0.2825939  0.1734834
  12.2553 -0.9442808 -0.3218774  0.0687656
  12.2899 -0.9438169 -0.3297362 -0.0219912
  12.3244 -0.9426525 -0.3087884 -0.1267121
  12.3590 -0.9411985 -0.2642710 -0.2104904
  12.3936 -0.9412550 -0.1883269 -0.2803070
  12.4281 -0.9438116 -0.0992873 -0.3152169
  12.4627 -0.9466580 -0.0050086 -0.3222010
  12.4986 -0.9534241  0.0918905 -0.2872953
  12.5332 -0.9505591  0.1809344 -0.2523890
